,Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
0,63.0,1,True,True,True,Shahran,1850000000.0,61666.67
1,60.0,1,True,True,True,Shahran,1850000000.0,61666.67
2,79.0,2,True,True,True,Pardis,550000000.0,18333.33
3,95.0,2,True,True,True,Shahrake Qods,902500000.0,30083.33
4,123.0,2,True,True,True,Shahrake Gharb,7000000000.0,233333.33
5,70.0,2,True,True,False,North Program Organization,2050000000.0,68333.33
6,87.0,2,True,True,True,Pardis,600000000.0,20000.0
7,59.0,1,True,True,True,Shahran,2150000000.0,71666.67
8,54.0,2,True,True,False,Andisheh,493000000.0,16433.33
9,71.0,1,True,True,True,West Ferdows Boulevard,2370000000.0,79000.0
10,68.0,2,True,True,True,West Ferdows Boulevard,2450000000.0,81666.67
11,64.0,1,True,True,True,Narmak,2100000000.0,70000.0
12,54.0,1,False,True,True,Narmak,1690000000.0,56333.33
13,136.0,3,True,True,True,Saadat Abad,11000000000.0,366666.67
14,95.0,2,True,True,True,Zafar,5000000000.0,166666.67
15,63.0,1,False,True,False,Islamshahr,570000000.0,19000.0
16,155.0,3,True,True,True,Narmak,6700000000.0,223333.33
17,64.0,2,False,True,False,Pirouzi,1450000000.0,48333.33
18,140.0,3,True,True,True,West Ferdows Boulevard,6400000000.0,213333.33
19,42.0,1,False,True,False,Pirouzi,1390000000.0,46333.33
20,93.0,2,True,True,True,Shahrake Gharb,7000000000.0,233333.33
21,87.0,2,True,True,True,Shahrake Shahid Bagheri,2500000000.0,83333.33
22,65.0,1,True,True,True,Shahran,1880000000.0,62666.67
23,99.0,2,True,True,True,Moniriyeh,2277000000.0,75900.0
24,105.0,2,True,True,True,Saadat Abad,7150000000.0,238333.33
25,160.0,3,True,True,True,Velenjak,14945000000.0,498166.67
26,77.0,2,True,True,True,Amirieh,1771000000.0,59033.33
27,123.0,2,True,True,True,Pirouzi,4059000000.0,135300.0
28,110.0,2,True,True,True,Southern Janatabad,630000000.0,21000.0
29,100.0,2,True,True,True,West Ferdows Boulevard,3200000000.0,106666.67
30,90.0,2,False,True,False,Salsabil,1500000000.0,50000.0
31,49.0,1,True,True,True,West Ferdows Boulevard,2200000000.0,73333.33
32,96.0,2,True,True,True,Zargandeh,7872000000.0,262400.0
33,67.0,2,True,True,False,Feiz Garden,2350000000.0,78333.33
34,68.0,2,True,True,True,West Ferdows Boulevard,2500000000.0,83333.33
35,62.0,1,True,False,True,Water Organization,2150000000.0,71666.67
36,55.0,1,True,True,True,West Ferdows Boulevard,2150000000.0,71666.67
37,110.0,2,True,True,True,West Ferdows Boulevard,3750000000.0,125000.0
38,129.0,2,True,True,True,West Ferdows Boulevard,5250000000.0,175000.0
39,109.0,2,True,True,True,West Ferdows Boulevard,4830000000.0,161000.0
40,58.0,1,True,True,True,Saadat Abad,3400000000.0,113333.33
41,55.0,1,True,True,True,Saadat Abad,3850000000.0,128333.33
42,150.0,2,False,True,True,Shahrake Qods,1200000000.0,40000.0
44,130.0,3,True,True,False,ShahrAra,5000000000.0,166666.67
45,88.0,2,True,True,True,Gisha,4750000000.0,158333.33
46,51.0,1,True,True,True,Gisha,2980000000.0,99333.33
47,113.0,3,True,True,False,Shahrake Gharb,7000000000.0,233333.33
48,110.0,2,True,True,True,Ray,2035000000.0,67833.33
49,60.0,1,True,True,True,Abbasabad,2460000000.0,82000.0
50,98.0,2,True,True,True,Pardis,540000000.0,18000.0
51,62.0,2,False,False,True,Ostad Moein,1450000000.0,48333.33
52,150.0,3,True,True,True,Farmanieh,10000000000.0,333333.33
53,75.0,2,False,False,False,Parand,635000000.0,21166.67
54,61.0,1,True,True,False,Punak,2030000000.0,67666.67
55,61.0,1,True,True,False,Punak,2030000000.0,67666.67
56,72.0,2,True,True,True,Shahran,2350000000.0,78333.33
57,100.0,2,True,True,True,Qasr-od-Dasht,3000000000.0,100000.0
58,122.0,3,True,True,True,Aqdasieh,7200000000.0,240000.0
59,215.0,3,True,True,True,Pakdasht,1750000000.0,58333.33
60,101.0,2,True,True,True,Railway,3300000000.0,110000.0
61,67.0,2,True,True,True,Punak,2800000000.0,93333.33
62,72.0,2,True,True,False,Punak,2200000000.0,73333.33
63,63.0,1,True,True,False,Punak,2200000000.0,73333.33
64,75.0,2,True,True,False,Punak,2200000000.0,73333.33
65,109.0,2,True,True,True,Shahran,3500000000.0,116666.67
66,122.0,2,True,True,True,Aqdasieh,7000000000.0,233333.33
67,70.0,1,True,True,True,Central Janatabad,3100000000.0,103333.33
68,60.0,1,True,True,True,West Ferdows Boulevard,2450000000.0,81666.67
69,53.0,1,True,True,False,East Ferdows Boulevard,1920000000.0,64000.0
70,90.0,1,False,True,False,Pakdasht KhatunAbad,850000000.0,28333.33
71,72.0,2,True,True,True,Amirieh,1650000000.0,55000.0
72,74.0,2,True,True,True,Amirieh,1700000000.0,56666.67
73,88.0,3,False,False,True,Parand,560000000.0,18666.67
74,63.0,1,True,True,True,Punak,2150000000.0,71666.67
75,114.0,3,True,True,True,Sattarkhan,5500000000.0,183333.33
76,151.0,3,True,True,True,Saadat Abad,10200000000.0,340000.0
77,42.0,1,True,False,True,Shahran,1760000000.0,58666.67
78,74.0,2,True,True,True,Amirieh,1700000000.0,56666.67
79,88.0,3,False,False,True,Parand,560000000.0,18666.67
80,63.0,1,True,True,True,Punak,2150000000.0,71666.67
81,114.0,3,True,True,True,Sattarkhan,5500000000.0,183333.33
82,151.0,3,True,True,True,Saadat Abad,10200000000.0,340000.0
83,42.0,1,True,False,True,Shahran,1760000000.0,58666.67
84,300.0,3,True,True,False,Baghestan,1500000000.0,50000.0
85,110.0,2,True,True,True,West Ferdows Boulevard,3730000000.0,124333.33
86,100.0,2,False,False,False,Shahrake Qods,620000000.0,20666.67
87,140.0,1,False,False,False,Shahryar,580000000.0,19333.33
88,70.0,2,True,True,True,Northern Janatabad,3050000000.0,101666.67
